Name,CapType,Material,Shape,EdgeType,EdgeInscription,Colour,FrontDesign,Country,BeverageType,Flavour,Quantity,Image,Notes
Strathmore Still,Screw Cap,Metal,Circle,Milled,,Blue,Strathmore Still,"Alberta, Canada",Water,Still,2,,
Diet Coke,Crown Cap,Metal,Circle,Crown,,Silver,Diet Coke,United States,Soda,,2,,
Sprite,Crown Cap,Metal,Circle,Crown,,Silver,Sprite,Germany,Soda,,2,,
Coke Zero,Crown Cap,Metal,Circle,Crown,,Black,Please Recycle Me,United States,Soda,,4,,
Corona Extra,Crown Cap,Metal,Circle,Crown,,Blue & White,Corona Extra,"Mexico City, Mexico",Beer,,2,,
fritz-kola,Crown Cap,Metal,Circle,Crown,,Black & White,Fritz-Kola,"Hamburg, Germany",Soda,,1,,
fritz-kola,Crown Cap,Metal,Circle,Crown,,Black & White,Fritz-Kola,"Hamburg, Germany",Soda,,1,,
fritz-kola,Crown Cap,Metal,Circle,Crown,Pull Out Then Up,Orange & White,Fritz-Kola,"Hamburg, Germany",Soda,,1,,
Allini,Cork with muselet (wire cage),Cork & Metal,Circle,Smooth,Champagne,Black,Allini,"Veneto, Italy",Prosecco,,1,,
Tymbark,Pull-off bottle cap,Metal,Circle,Milled,,Green,Tymbark,Romania,Juice,Apple,1,,
Moet & Chandon,Cork,Cork Oak Tree,Circle,Smooth,,Brown,Moet & Chandon,France,Champagne,,1,,
Captain Morgan,Screw Cap,Metal,Circle,Milled,,Gold,Captain Morgan Rum Company,United States Virgin Islands,Rum,,1,,
Messina 15,Crown Cap,Metal,Circle,Crown,,Gold,15,"Pelliconi, Italy",Lager,,1,,
Peroni,Crown Cap,Metal,Circle,Crown,,Silver,Peroni Chill Lemon,"Vigevano, Italy",Pilsner Beer,,1,,
Arla Cravendale,Screw Cap,Plastic,Circle,Milled,,Green,Arla,Denmark,Milk,Skimmed,1,,
Irn Bru,Screw Cap,Metal,Circle,Milled,,Dark Blue,Irn Bru,Scotland,Soda,,1,,
Irn Bru,Screw Cap,Plastic,Circle,Milled,,Blue,Irn Bru,Scotland,Soda,,1,,
Harrogate,Screw Cap,Metal,Circle,Milled,,Black,Harrogate Spring Water,"North Yorkshire, England",Water,Still,1,,
Budweiser,Crown Cap,Metal,Circle,Crown,,Red,Crown,United States,Lager,,1,,
Tennents,Crown Cap,Metal,Circle,Crown,,Gold & Red,T,Scotland,Lager,,1,,
Perlenbacher,Screw Cap,Metal,Circle,Crown,,Gold & Black,Lion,Germany,Beer,,1,,
Diam Bouchage,Cork,Cork Oak Tree,Circle,Smooth,,Brown,Mytik Diam,"Céret, Occitanie, France",Sparkling Wine,Sparkling,1,,
Marks & Spencers,Screw Cap,Metal,Circle,Milled,,Black,M&S,"Leeds, England",Water,Still,1,,
Karma Drinks,Screw Cap,Metal,Circle,Milled,,Orange & Blue,Karma Drinks,New Zealand,Soda,,1,,
Karma Drinks,Screw Cap,Metal,Circle,Milled,,Orange & Green,Karma Drinks,New Zealand,Soda,,1,,
Coca Cola,Screw Cap,Plastic,Circle,Milled,,Red,I Am Attached To Recycle Together,United States,Soda,,1,,
Evian,Screw Cap,Metal,Circle,Milled,,Silver,evian,France,Water,Still,1,,
Oasis,Screw Cap,Plastic,Circle,Milled,,Blue,Oasis,France,Juice,Blackcurrant Apple,1,,
Coke Zero,Screw Cap,Plastic,Circle,Milled,,Off White & Black,Zero Sugar Vanilla Coca Cola,United States,Soda,Vanilla,1,,
Pepsi Max,Screw Cap,Plastic,Circle,Milled,,Black,Open By Hand,United States,Soda,,1,,
Mai Dubai,Screw Cap,Plastic,Circle,Milled,,Red,Mai Dubai,United Arab Emirates,Water,Still,1,,
jeema,Screw Cap,Plastic,Circle,Milled,,Blue,jeema,United Arab Emirates,Water,Still,1,,
Innocent Drinks,Screw Cap,Plastic,Circle,Milled,,White,100% recyclable bottle & cap,United Kingdom of Great Britain & Northern Ireland,Juice,Strawberries & Banana,1,,
Coke Zero,Screw Cap,Plastic,Circle,Milled,,Black,Please Recycle Me,United States,Soda,,1,,
Coca Cola,Screw Cap,Plastic,Circle,Milled,,Red & Black,Coca Cola,United States,Soda,,1,,
Fanta,Screw Cap,Plastic,Circle,Milled,,Orange & Blue,Please Recycle Me,Germany,Soda,,1,,
Fanta,Screw Cap,Plastic,Circle,Milled,,Red & Blue,Please Recycle Me,Germany,Soda,Fruit Twist,1,,
Highland Spring,Screw Cap,Plastic,Circle,Milled,,Blue,Highland Spring,Scotland,Water,Still,1,,
Coca Cola,Crown Cap,Metal,Circle,Crown,,Red & White,Please Recycle Me,United States,Soda,,1,,
Miranda,Screw Cap,Plastic,Circle,Milled,,Orange,Miranda,Spain,Soda,Orange,1,,
7up Free,Screw Cap,Plastic,Circle,Milled,,Lime Green,7up Free,United States,Soda,,1,,
Diet Coke,Screw Cap,Plastic,Circle,Milled,,Silver,Please Recycle Me,United States,Soda,,1,,
Coca Cola,Screw Cap,Plastic,Circle,Milled,,Red,Classic Cherry Coca Cola,United States,Soda,,1,,
Fanta,Crown Cap,Metal,Circle,Crown,,Orange & Blue,Fanta,Germany,Soda,,1,,
Orangina,Crown Cap,Metal,Circle,Crown,,Silver & Blue,Orangina,Algeria,Soda,,1,,
Schweppes,Crown Cap,Metal,Circle,Crown,,Orange & Blue,Schweppes,"Geneva, Switzerland",Soda,Orange,1,,
J2O,Crown Cap,Metal,Circle,Crown,,Green & White,J2O,United Kingdom,Soda,Apple & Raspberry,1,,
Pepsi,Crown Cap,Metal,Circle,Crown,,"Blue, Red, White, Silver",Logo,United States,Soda,,1,,
Coke Zero,Crown Cap,Metal,Circle,Crown,,Black & White,Coca Cola Zero Calories,United States,Soda,,1,,Found in Dubai with Dubai Writing
Coca Cola,Crown Cap,Metal,Circle,Crown,,Red & White,Coca Cola,United States,Soda,,1,,Found in Dubai with Dubai Writing
